fid,OBJECTID,UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,FUENTE_INE,FUENTE_G,Z,XGD,YGD,Y_X_COORD
150979,150979,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,618747,El Triunfo,EL TRIUNFO,0,1,IP,1601130046, ,INEI17,MED-GPS,103,-73.47422431,-4.15412791,-77.62835222
150991,150991,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654893,Nuevo Triunfo,NUEVO TRIUNFO,0,0, ,1601130078, ,INEI17,INEI,112,-73.49783532,-4.12628745,-77.62412277
150992,150992,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654936,23 de Febrero,23 DE FEBRERO,0,0, ,1601130089, ,INEI17,INEI,106,-73.45847309,-4.149769549,-77.60824264
150998,150998,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,684152,Huambe Ii Zona,HUAMBE II ZONA,0,1,P, , , ,DRE/UGEL,162,-73.5377,-4.1483,-77.686
151001,151001,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,689871,San Martin,SAN MARTIN,0,0, ,1601130092, ,INEI17,INEI,108,-73.40038595,-4.190012051,-77.590398
151733,151733,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,510505,San Pedro,SAN PEDRO,0,1,P,1601130014, ,INEI17,MED-GPS,86,-73.36611571,-3.99999146,-77.36610717
151735,151735,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,620945,Santa Eloisa,SANTA ELOISA,0,1,IP,1601130042, ,INEI17,MED-GPS,94,-73.38066426,-4.06990854,-77.4505728
151736,151736,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,618268,Nuevo Milagro,NUEVO MILAGRO,0,1,IPSKL,1601130034, ,INEI17,MED-GPS,134,-73.37414075,-3.93885069,-77.31299144
151737,151737,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,616115,Paraiso,PARAISO,0,1,IP,1601130035, ,INEI17,MED-GPS,96,-73.38256668,-4.04117196,-77.42373864
151738,151738,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,613866,Paujil Zona 2,PAUJIL ZONA 2,0,1,IP,1601130030, ,INEI17,INEI,116,-73.46996833,-4.00331,-77.47327833
151739,151739,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,620514,San Pedro de Pintuyacu,SAN PEDRO DE PINTUYACU,0,1,IP,1601130040, ,INEI17,MED-GPS,93,-73.4024554,-4.10364585,-77.50610125
151740,151740,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,123414,Santa Martha,SANTA MARTHA,0,1,IP,1601130041, ,INEI17,MED-GPS,101,-73.38336315,-4.06228959,-77.44565274
151741,151741,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,617192,Ex Petroleros II Zona,EX PETROLEROS II ZONA,0,1,GP,1601130039, ,INEI17,INEI,111,-73.47498,-4.064826667,-77.53980667
151742,151742,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,618062,1 de Mayo,1 DE MAYO,0,0, , , ,INEI17,MED-GPS,111,-73.51697445,-4.01092272,-77.52789717
151743,151743,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,571203,Villa Buen Pastor,VILLA BUEN PASTOR,0,1,IP,1601130036, ,INEI17,MED-GPS,125,-73.36111249,-3.94851666,-77.30962915
151745,151745,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,610534,24 de Junio,24 DE JUNIO,0,1,IP,1601130029, ,INEI17,MED-GPS,114,-73.42372517,-4.02122282,-77.44494799
151746,151746,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,610187,Nueva Esperanza,NUEVA ESPERANZA,0,1,IP,1601130027, ,INEI17,MED-GPS,102,-73.41405915,-3.90478713,-77.31884628
151747,151747,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,551531,Fuerza,FUERZA,0,0, , , , ,IGN,132,-73.37805652,-3.93754552,-77.31560204
151748,151748,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,241304,Anguilla,ANGUILLA,0,1,P,1601130067, ,INEI17,MED-GPS,96,-73.66230434,-3.91247499,-77.57477933
151749,151749,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,124523,Santa Isabel de Zungaro Cocha,SANTA ISABEL DE ZUNGARO COCHA,0,1,IPS,1601130018, ,INEI17,MED-GPS,94,-73.3551862,-3.82805974,-77.18324594
