cp,year,Deforestation,ruta,class,Nigth_light
HABANA,2016,3.4855694,Iquitos-Nauta,new,0.2453557
HABANA,2017,2.6175998,Iquitos-Nauta,new,0.4663353
HABANA,2018,1.7748926,Iquitos-Nauta,new,0.4131313
HABANA,2019,1.1860971,Iquitos-Nauta,new,0.2996064
HABANA,2020,0.5736402,Iquitos-Nauta,new,0.4521177
HABANA,2021,0,Iquitos-Nauta,new,0.5653704
EL TRIUNFO,2015,5.8794248,Iquitos-Nauta,new,0.1765094
EL TRIUNFO,2016,4.7185083,Iquitos-Nauta,new,0.2112909
EL TRIUNFO,2017,3.7984568,Iquitos-Nauta,new,0.4443621
EL TRIUNFO,2018,2.7710684,Iquitos-Nauta,new,0.3917547
EL TRIUNFO,2019,1.7680325,Iquitos-Nauta,new,0.3338193
EL TRIUNFO,2020,0.7832034,Iquitos-Nauta,new,0.4751853
EL TRIUNFO,2021,0,Iquitos-Nauta,new,0.7411436
1 DE FEBRERO,2015,2.8144721,Iquitos-Nauta,new,0.2018916
1 DE FEBRERO,2016,2.1061955,Iquitos-Nauta,new,0.2471727
1 DE FEBRERO,2017,1.2870844,Iquitos-Nauta,new,0.3870999
1 DE FEBRERO,2018,0.919712,Iquitos-Nauta,new,0.3947448
1 DE FEBRERO,2019,0.6665352,Iquitos-Nauta,new,0.324758
1 DE FEBRERO,2020,0.2945626,Iquitos-Nauta,new,0.4569185
1 DE FEBRERO,2021,0,Iquitos-Nauta,new,0.440375
24 DE JUNIO,2015,7.6947136,Iquitos-Nauta,new,0.1854516
24 DE JUNIO,2016,6.4630216,Iquitos-Nauta,new,0.2963551
24 DE JUNIO,2017,4.3749977,Iquitos-Nauta,new,0.4782495
24 DE JUNIO,2018,3.1366672,Iquitos-Nauta,new,0.5157237
24 DE JUNIO,2019,1.9271869,Iquitos-Nauta,new,0.3574644
24 DE JUNIO,2020,0.5452977,Iquitos-Nauta,new,0.4898422
24 DE JUNIO,2021,0,Iquitos-Nauta,new,0.6784739
SAN LUCAS,2015,6.4155222,Iquitos-Nauta,new,0.1775055
SAN LUCAS,2016,5.367247,Iquitos-Nauta,new,0.2393243
SAN LUCAS,2017,3.742464,Iquitos-Nauta,new,0.4453181
SAN LUCAS,2018,2.6224595,Iquitos-Nauta,new,0.4263704
SAN LUCAS,2019,1.6846029,Iquitos-Nauta,new,0.3676336
SAN LUCAS,2020,0.613795,Iquitos-Nauta,new,0.5436499
SAN LUCAS,2021,0,Iquitos-Nauta,new,0.8438246
EX PETROLEROS I ZONA,2015,6.6063716,Iquitos-Nauta,new,0.2101864
EX PETROLEROS I ZONA,2016,5.4940581,Iquitos-Nauta,new,0.2358997
EX PETROLEROS I ZONA,2017,3.7418775,Iquitos-Nauta,new,0.4386871
EX PETROLEROS I ZONA,2018,2.6252085,Iquitos-Nauta,new,0.4327551
EX PETROLEROS I ZONA,2019,1.7367515,Iquitos-Nauta,new,0.3661777
EX PETROLEROS I ZONA,2020,0.6422201,Iquitos-Nauta,new,0.5388846
EX PETROLEROS I ZONA,2021,0,Iquitos-Nauta,new,0.8550477
NUEVO HORIZONTE,2015,7.8565373,Iquitos-Nauta,new,0.2344427
NUEVO HORIZONTE,2016,6.8506972,Iquitos-Nauta,new,0.2401015
NUEVO HORIZONTE,2017,4.3744395,Iquitos-Nauta,new,0.429409
NUEVO HORIZONTE,2018,3.026448,Iquitos-Nauta,new,0.4417069
NUEVO HORIZONTE,2019,1.9346671,Iquitos-Nauta,new,0.3604468
NUEVO HORIZONTE,2020,0.5567467,Iquitos-Nauta,new,0.5232212
NUEVO HORIZONTE,2021,0,Iquitos-Nauta,new,0.8505749
PAUJIL ZONA 1,2015,7.3948914,Iquitos-Nauta,new,0.2325498
PAUJIL ZONA 1,2016,6.4065527,Iquitos-Nauta,new,0.2744131
PAUJIL ZONA 1,2017,4.2146382,Iquitos-Nauta,new,0.4409732
PAUJIL ZONA 1,2018,2.776159,Iquitos-Nauta,new,0.4706507
PAUJIL ZONA 1,2019,1.6978675,Iquitos-Nauta,new,0.352938
PAUJIL ZONA 1,2020,0.5060474,Iquitos-Nauta,new,0.481474
PAUJIL ZONA 1,2021,0,Iquitos-Nauta,new,0.7302644
13 DE FEBRERO,2015,7.0570983,Iquitos-Nauta,new,0.2003962
13 DE FEBRERO,2016,5.97701,Iquitos-Nauta,new,0.3069241
13 DE FEBRERO,2017,3.9627846,Iquitos-Nauta,new,0.4754525
13 DE FEBRERO,2018,2.8191991,Iquitos-Nauta,new,0.4932962
13 DE FEBRERO,2019,1.6373648,Iquitos-Nauta,new,0.3558603
13 DE FEBRERO,2020,0.5229298,Iquitos-Nauta,new,0.4816658
13 DE FEBRERO,2021,0,Iquitos-Nauta,new,0.6864072
SAN JOSE,2015,6.2784096,Iquitos-Nauta,new,0.2989829
SAN JOSE,2016,4.5250684,Iquitos-Nauta,new,0.5106327
SAN JOSE,2017,2.9458902,Iquitos-Nauta,new,0.5741917
SAN JOSE,2018,2.2698828,Iquitos-Nauta,new,0.6293076
SAN JOSE,2019,1.597657,Iquitos-Nauta,new,0.5020169
SAN JOSE,2020,0.7933895,Iquitos-Nauta,new,0.621026
SAN JOSE,2021,0,Iquitos-Nauta,new,0.8592366
EL DORADO,2015,6.11396,Iquitos-Nauta,new,0.2946466
EL DORADO,2016,4.5172164,Iquitos-Nauta,new,0.4992151
EL DORADO,2017,2.9131601,Iquitos-Nauta,new,0.6091989
EL DORADO,2018,2.2871658,Iquitos-Nauta,new,0.6467456
EL DORADO,2019,1.3458515,Iquitos-Nauta,new,0.5082282
EL DORADO,2020,0.5839121,Iquitos-Nauta,new,0.6304805
EL DORADO,2021,0,Iquitos-Nauta,new,0.837915
UNION PROGRESO,2015,6.0206296,Iquitos-Nauta,new,1.423266
UNION PROGRESO,2016,4.778552,Iquitos-Nauta,new,1.6210471
UNION PROGRESO,2017,3.3787257,Iquitos-Nauta,new,2.1948805
UNION PROGRESO,2018,2.4311765,Iquitos-Nauta,new,2.2891771
UNION PROGRESO,2019,1.6710605,Iquitos-Nauta,new,1.9280293
UNION PROGRESO,2020,0.8568764,Iquitos-Nauta,new,2.1959592
UNION PROGRESO,2021,0,Iquitos-Nauta,new,2.5973706
CALIPSO,2015,7.4444006,Iquitos-Nauta,new,0.9320878
CALIPSO,2016,5.9769963,Iquitos-Nauta,new,1.1566903
CALIPSO,2017,4.3265207,Iquitos-Nauta,new,1.4002214
CALIPSO,2018,3.1428745,Iquitos-Nauta,new,1.5899116
CALIPSO,2019,2.2189797000000002,Iquitos-Nauta,new,1.482527
